"","state","friday","deaths","positives","negatives"
"291","VT",2020-09-11,0,26,6351
"292","WA",2020-09-11,46,3155,93504
"293","WI",2020-09-11,44,7161,43831
"294","WV",2020-09-11,20,1137,21743
"295","AK",2020-09-04,3,546,41853
"296","AL",2020-09-04,159,8208,-2658
"297","AR",2020-09-04,117,5095,45764
"298","AZ",2020-09-04,193,4023,48828
"299","CA",2020-09-04,800,33425,752908
"300","CO",2020-09-04,26,1944,35760
"301","CT",2020-09-04,3,870,109282
"302","DC",2020-09-04,6,335,21467
"303","DE",2020-09-04,2,669,14932
"304","FL",2020-09-04,804,24405,167925
"305","GA",2020-09-04,460,13982,131159
"306","IA",2020-09-04,46,5643,29533
"307","ID",2020-09-04,29,1805,12735
"308","IL",2020-09-04,146,16114,369748
"309","IN",2020-09-04,73,6571,66807
"310","KS",2020-09-04,38,4172,19886
"311","KY",2020-09-04,69,4920,42870
"312","LA",2020-09-04,131,5425,98040
"313","MA",2020-09-04,101,-5826,143442
"314","MD",2020-09-04,53,4167,76028
"315","ME",2020-09-04,2,196,35234
"316","MI",2020-09-04,86,5159,188948
"317","MN",2020-09-04,40,5726,60871
"318","MO",2020-09-04,98,9223,57874
"319","MS",2020-09-04,145,4645,19877
"320","MT",2020-09-04,14,956,16157
"321","NC",2020-09-04,187,11763,194442
"322","ND",2020-09-04,7,1869,7897
"323","NE",2020-09-04,13,2368,18805
"324","NH",2020-09-04,0,152,10954
"325","NJ",2020-09-04,45,2451,213077
"326","NM",2020-09-04,27,892,35538
"327","NV",2020-09-04,88,2860,17404
"328","NY",2020-09-04,36,5204,602752
"329","OH",2020-09-04,143,8320,200210
"330","OK",2020-09-04,60,5780,52835
"331","OR",2020-09-04,28,1547,31515
"332","PA",2020-09-04,87,5671,88044
"333","RI",2020-09-04,9,560,16655
"334","SC",2020-09-04,191,7374,48101
"335","SD",2020-09-04,5,2079,7274
"336","TN",2020-09-04,136,9782,117948
"337","TX",2020-09-04,965,29061,248330
"338","UT",2020-09-04,12,2891,29080
"339","VA",2020-09-04,112,7187,88205
"340","VT",2020-09-04,0,53,15390
"341","WA",2020-09-04,55,3153,106772
"342","WI",2020-09-04,40,5596,53396
"343","WV",2020-09-04,41,1213,28117
"344","AK",2020-08-28,7,520,17483
"345","AL",2020-08-28,117,9415,58348
"346","AR",2020-08-28,93,3931,35533
"347","AZ",2020-08-28,290,3759,52330
"348","CA",2020-08-28,869,38522,642743
"349","CO",2020-08-28,20,2113,40111
"350","CT",2020-08-28,5,976,104160
"351","DC",2020-08-28,3,382,22109
"352","DE",2020-08-28,4,313,12720
"353","FL",2020-08-28,795,22520,157945
"354","GA",2020-08-28,473,15742,151140
"355","IA",2020-08-28,74,5965,28055
"356","ID",2020-08-28,45,2002,13405
"357","IL",2020-08-28,140,13839,317832
"358","IN",2020-08-28,69,6996,78621
"359","KS",2020-08-28,24,4192,32640
